Country,Year,CO2 emission (Tons),Population(2022),Area(Square kilometre),proportion of global land area,Density(Square kilometre),Access to electricity (% of population),Access to clean fuels for cooking,Electricity from fossil fuels (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Latitude,Longitude,Exchange_Rate,CO2_per_capita,Energy_per_CO2,Renewable_ratio
Argentina,2000,4979454768.0,45510318.0,2780400.0,0.018,16,95.78329,95.0,50.37,28.89,40.914955,18849.81,12.283858,-0.788998939,7708.099115,-38.416097,-63.616672,0.9995,109.41375465669124,172.28007629520857,0.3644965934897805
Argentina,2001,5113458712.0,45510318.0,2780400.0,0.018,16,95.51106,95.6,42.91,37.04,50.38733,18210.12,15.937488,-4.408839683,7208.373114,-38.416097,-63.616672,0.9995,112.35822856698124,162.0719748989654,0.4632895559724828
Argentina,2002,5237851060.0,45510318.0,2780400.0,0.018,16,96.22887,96.1,39.7,36.06,51.07825,17275.256,16.249306,-10.89448483,2593.404563,-38.416097,-63.616672,3.063257,115.0915065018882,150.10018136930532,0.4759767687434002
Argentina,2003,5372482068.0,45510318.0,2780400.0,0.018,16,96.442635,96.45,46.73,34.38,46.982075,18326.521,14.408259,8.837040796,3349.8063,-38.416097,-63.616672,2.900629,118.04975891401156,155.24403580823233,0.4238688201208236
Argentina,2004,5529525459.0,45510318.0,2780400.0,0.018,16,96.6535,97.2,57.35,31.03,40.066883,19261.457,12.1855755,9.029573301,4277.721573,-38.416097,-63.616672,2.923301,121.50047949566074,158.5298846552116,0.3510975333785924
Argentina,2005,5690959659.0,45510318.0,2780400.0,0.018,16,96.863846,97.5,59.89,34.6,40.620663,20232.844,12.788524,8.85165992,5109.852245,-38.416097,-63.616672,2.903658,125.0476794954498,161.80103526620204,0.3661763149539633
Argentina,2006,5865568651.0,45510318.0,2780400.0,0.018,16,97.07606,98.1,65.58,38.67,41.131058,21038.723,13.449462,8.0471515,5919.012338,-38.416097,-63.616672,3.054313,128.88436971589607,163.23719506388812,0.3709352517985612
Argentina,2007,6039814411.0,45510318.0,2780400.0,0.018,16,97.29279,98.3,72.95,31.18,34.19035,21708.37,10.599154,9.007650875,7245.446857,-38.416097,-63.616672,3.095649,132.71307862537898,163.57370520563498,0.2994334005569961
Argentina,2008,6227920411.0,45510318.0,2780400.0,0.018,16,97.516754,98.6,76.62,31.28,33.22876,21780.38,10.437064,4.057233103,9020.873323,-38.416097,-63.616672,3.144165,136.8463391312713,159.1593910240225,0.2898980537534754
Argentina,2009,6406869611.0,45510318.0,2780400.0,0.018,16,97.750656,98.9,74.01,34.7,36.362854,20954.271,11.783506,-5.918525076,8225.137583,-38.416097,-63.616672,3.710107,140.77839691210244,148.84578500409535,0.3191978658817036
Argentina,2010,6593602747.0,45510318.0,2780400.0,0.018,16,98.82,99.1,78.54,34.41,34.353058,21507.703,11.661375,10.12539816,10385.96443,-38.416097,-63.616672,3.896295,144.88149142354928,148.4503147273931,0.3046480743691899
Argentina,2011,6783876521.0,45510318.0,2780400.0,0.018,16,99.09535,99.3,84.43,32.43,31.217922,21894.867,10.929448,6.003951693,12848.8642,-38.416097,-63.616672,4.11014,149.06238451245275,146.8839175732553,0.2775115522847852
Argentina,2012,6975591369.0,45510318.0,2780400.0,0.018,16,99.22998,99.5,91.86,30.93,28.619164,22494.715,10.216426,-1.026420454,13082.66433,-38.416097,-63.616672,4.536934,153.27494237680344,146.76055101492142,0.2518934766674811
Argentina,2013,7165724742.0,45510318.0,2780400.0,0.018,16,99.342674,99.6,91.55,35.03,30.806438,23152.588,10.950079,2.405323781,13080.25473,-38.416097,-63.616672,5.459353,157.45275042903458,147.0446717311241,0.2767419813556644
Argentina,2014,7354381844.0,45510318.0,2780400.0,0.018,16,100.0,99.7,92.18,34.37,30.066004,22881.006,11.038978,-2.512615321,12334.79825,-38.416097,-63.616672,8.075276,161.5981203207589,141.59203061634068,0.2715922560252864
Argentina,2015,7546787804.0,45510318.0,2780400.0,0.018,16,99.62539,99.7,97.18,33.97,29.472387,23046.873,10.907397,2.731159828,13789.06042,-38.416097,-63.616672,9.233186,165.82586401615563,138.9823785133702,0.2590163934426229
Argentina,2016,7737764998.0,45510318.0,2780400.0,0.018,16,99.84958,99.8,100.8,31.02,27.81438,22726.455,10.167007,-2.080327844,12790.24247,-38.416097,-63.616672,14.758175,170.02221338027127,133.66756347989698,0.2353208921256258
