Country,Year,CO2 emission (Tons),Population(2022),Area(Square kilometre),proportion of global land area,Density(Square kilometre)
Argentina,2000,4979454768.0,45510318.0,2780400.0,0.018000000000000002,16
Argentina,2001,5113458712.0,45510318.0,2780400.0,0.018000000000000002,16
Argentina,2002,5237851060.0,45510318.0,2780400.0,0.018000000000000002,16
Argentina,2003,5372482068.0,45510318.0,2780400.0,0.018000000000000002,16
Argentina,2004,5529525459.0,45510318.0,2780400.0,0.018000000000000002,16
Argentina,2005,5690959659.0,45510318.0,2780400.0,0.018000000000000002,16
Argentina,2006,5865568651.0,45510318.0,2780400.0,0.018000000000000002,16
Argentina,2007,6039814411.0,45510318.0,2780400.0,0.018000000000000002,16
Argentina,2008,6227920411.0,45510318.0,2780400.0,0.018000000000000002,16
Argentina,2009,6406869611.0,45510318.0,2780400.0,0.018000000000000002,16
Argentina,2010,6593602747.0,45510318.0,2780400.0,0.018000000000000002,16
Argentina,2011,6783876521.0,45510318.0,2780400.0,0.018000000000000002,16
Argentina,2012,6975591369.0,45510318.0,2780400.0,0.018000000000000002,16
Argentina,2013,7165724742.0,45510318.0,2780400.0,0.018000000000000002,16
Argentina,2014,7354381844.0,45510318.0,2780400.0,0.018000000000000002,16
Argentina,2015,7546787804.0,45510318.0,2780400.0,0.018000000000000002,16
Argentina,2016,7737764998.0,45510318.0,2780400.0,0.018000000000000002,16
Argentina,2017,7925569727.0,45510318.0,2780400.0,0.018000000000000002,16
Argentina,2018,8106669354.0,45510318.0,2780400.0,0.018000000000000002,16
Argentina,2019,8274234941.0,45510318.0,2780400.0,0.018000000000000002,16
Argentina,2020,8431213004.0,45510318.0,2780400.0,0.018000000000000002,16
Australia,2000,10689033670.0,26177413.0,7692024.0,0.052000000000000005,3
Australia,2001,11049488324.0,26177413.0,7692024.0,0.052000000000000005,3
Australia,2002,11416601222.0,26177413.0,7692024.0,0.052000000000000005,3
Australia,2003,11789834269.0,26177413.0,7692024.0,0.052000000000000005,3
Australia,2004,12176600542.0,26177413.0,7692024.0,0.052000000000000005,3
Australia,2005,12564202134.0,26177413.0,7692024.0,0.052000000000000005,3
Australia,2006,12961496845.0,26177413.0,7692024.0,0.052000000000000005,3
Australia,2007,13363422384.0,26177413.0,7692024.0,0.052000000000000005,3
Australia,2008,13773075431.0,26177413.0,7692024.0,0.052000000000000005,3
Australia,2009,14174396760.0,26177413.0,7692024.0,0.052000000000000005,3
Australia,2010,14578929980.0,26177413.0,7692024.0,0.052000000000000005,3
Australia,2011,14984273863.0,26177413.0,7692024.0,0.052000000000000005,3
Australia,2012,15386939707.0,26177413.0,7692024.0,0.052000000000000005,3
Australia,2013,15780110326.0,26177413.0,7692024.0,0.052000000000000005,3
Australia,2014,16179364072.0,26177413.0,7692024.0,0.052000000000000005,3
Australia,2015,16582643483.0,26177413.0,7692024.0,0.052000000000000005,3
Australia,2016,16998588655.0,26177413.0,7692024.0,0.052000000000000005,3
Australia,2017,17413339852.0,26177413.0,7692024.0,0.052000000000000005,3
Australia,2018,17829341009.0,26177413.0,7692024.0,0.052000000000000005,3
Australia,2019,18243857842.0,26177413.0,7692024.0,0.052000000000000005,3
Australia,2020,18635749770.0,26177413.0,7692024.0,0.052000000000000005,3
Brazil,2000,7461070782.0,215313498.0,8515767.0,0.055999999999999994,25
Brazil,2001,7807236782.0,215313498.0,8515767.0,0.055999999999999994,25
Brazil,2002,8155001782.0,215313498.0,8515767.0,0.055999999999999994,25
Brazil,2003,8499646782.0,215313498.0,8515767.0,0.055999999999999994,25
Brazil,2004,8861080782.0,215313498.0,8515767.0,0.055999999999999994,25
Brazil,2005,9225451782.0,215313498.0,8515767.0,0.055999999999999994,25
Brazil,2006,9594322782.0,215313498.0,8515767.0,0.055999999999999994,25
Brazil,2007,9984895782.0,215313498.0,8515767.0,0.055999999999999994,25
Brazil,2008,10397533782.0,215313498.0,8515767.0,0.055999999999999994,25
Brazil,2009,10787308782.0,215313498.0,8515767.0,0.055999999999999994,25
Brazil,2010,11227577782.0,215313498.0,8515767.0,0.055999999999999994,25
Brazil,2011,11690157782.0,215313498.0,8515767.0,0.055999999999999994,25
Brazil,2012,12188466782.0,215313498.0,8515767.0,0.055999999999999994,25
Brazil,2013,12720884782.0,215313498.0,8515767.0,0.055999999999999994,25
Brazil,2014,13278785782.0,215313498.0,8515767.0,0.055999999999999994,25
Brazil,2015,13808138782.0,215313498.0,8515767.0,0.055999999999999994,25
Brazil,2016,14300886782.0,215313498.0,8515767.0,0.055999999999999994,25
Brazil,2017,14801644497.0,215313498.0,8515767.0,0.055999999999999994,25
Brazil,2018,15285329785.0,215313498.0,8515767.0,0.055999999999999994,25
Brazil,2019,15771122931.0,215313498.0,8515767.0,0.055999999999999994,25
Brazil,2020,16238506431.0,215313498.0,8515767.0,0.055999999999999994,25
Canada,2000,22180153682.0,38454327.0,9984670.0,0.061,4
Canada,2001,22739195847.0,38454327.0,9984670.0,0.061,4
Canada,2002,23303865021.0,38454327.0,9984670.0,0.061,4
Canada,2003,23886208607.0,38454327.0,9984670.0,0.061,4
Canada,2004,24466967376.0,38454327.0,9984670.0,0.061,4
Canada,2005,25042819787.0,38454327.0,9984670.0,0.061,4
Canada,2006,25614229550.0,38454327.0,9984670.0,0.061,4
Canada,2007,26208894916.0,38454327.0,9984670.0,0.061,4
Canada,2008,26788262055.0,38454327.0,9984670.0,0.061,4
Canada,2009,27334872496.0,38454327.0,9984670.0,0.061,4
Canada,2010,27893676503.0,38454327.0,9984670.0,0.061,4
Canada,2011,28463546701.0,38454327.0,9984670.0,0.061,4
Canada,2012,29032809432.0,38454327.0,9984670.0,0.061,4
Canada,2013,29606508169.0,38454327.0,9984670.0,0.061,4
Canada,2014,30177071586.0,38454327.0,9984670.0,0.061,4
Canada,2015,30750132962.0,38454327.0,9984670.0,0.061,4
Canada,2016,31309699924.0,38454327.0,9984670.0,0.061,4
Canada,2017,31879060360.0,38454327.0,9984670.0,0.061,4
Canada,2018,32458530732.0,38454327.0,9984670.0,0.061,4
Canada,2019,33040920340.0,38454327.0,9984670.0,0.061,4
Canada,2020,33576743330.0,38454327.0,9984670.0,0.061,4
China,2000,74884032894.0,1425887337.0,9706961.0,0.063,147
China,2001,78398966689.0,1425887337.0,9706961.0,0.063,147
China,2002,82271561986.0,1425887337.0,9706961.0,0.063,147
China,2003,86816575872.0,1425887337.0,9706961.0,0.063,147
China,2004,92040330528.0,1425887337.0,9706961.0,0.063,147
China,2005,97916885868.0,1425887337.0,9706961.0,0.063,147
China,2006,104000000000.0,1425887337.0,9706961.0,0.063,147
China,2007,111000000000.0,1425887337.0,9706961.0,0.063,147
China,2008,119000000000.0,1425887337.0,9706961.0,0.063,147
China,2009,127000000000.0,1425887337.0,9706961.0,0.063,147
China,2010,135000000000.0,1425887337.0,9706961.0,0.063,147
China,2011,145000000000.0,1425887337.0,9706961.0,0.063,147
China,2012,155000000000.0,1425887337.0,9706961.0,0.063,147
China,2013,165000000000.0,1425887337.0,9706961.0,0.063,147
China,2014,175000000000.0,1425887337.0,9706961.0,0.063,147
China,2015,184000000000.0,1425887337.0,9706961.0,0.063,147
China,2016,194000000000.0,1425887337.0,9706961.0,0.063,147
China,2017,204000000000.0,1425887337.0,9706961.0,0.063,147
China,2018,214000000000.0,1425887337.0,9706961.0,0.063,147
China,2019,225000000000.0,1425887337.0,9706961.0,0.063,147
China,2020,236000000000.0,1425887337.0,9706961.0,0.063,147
France,2000,31428626515.0,64626628.0,551695.0,0.004,117
France,2001,31839159871.0,64626628.0,551695.0,0.004,117
France,2002,32245170292.0,64626628.0,551695.0,0.004,117
France,2003,32657116430.0,64626628.0,551695.0,0.004,117
France,2004,33070265266.0,64626628.0,551695.0,0.004,117
