Country,Year,Access to electricity (% of population),Access to clean fuels for cooking,Electricity from fossil fuels (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density(Square kilometre),Land Area(Km2),Latitude,Longitude
Argentina,2000,95.78329,95.0,50.37,28.89,40.914955,18849.81,12.283858,-0.788998939,7708.099115,17.0,2780400.0,-38.416097,-63.616672
Argentina,2001,95.51106,95.6,42.91,37.04,50.38733,18210.12,15.937488,-4.408839683,7208.373114,17.0,2780400.0,-38.416097,-63.616672
Argentina,2002,96.22887,96.1,39.7,36.06,51.07825,17275.256,16.249306,-10.89448483,2593.404563,17.0,2780400.0,-38.416097,-63.616672
Argentina,2003,96.442635,96.45,46.73,34.38,46.982075,18326.521,14.408259,8.837040796,3349.8063,17.0,2780400.0,-38.416097,-63.616672
Argentina,2004,96.6535,97.2,57.35,31.03,40.066883,19261.457,12.1855755,9.029573301,4277.721573,17.0,2780400.0,-38.416097,-63.616672
Argentina,2005,96.863846,97.5,59.89,34.6,40.620663,20232.844,12.788524,8.85165992,5109.852245,17.0,2780400.0,-38.416097,-63.616672
Argentina,2006,97.07606,98.1,65.58,38.67,41.131058,21038.723,13.449462,8.0471515,5919.012338,17.0,2780400.0,-38.416097,-63.616672
Argentina,2007,97.29279,98.3,72.95,31.18,34.19035,21708.37,10.599154,9.007650875,7245.446857,17.0,2780400.0,-38.416097,-63.616672
Argentina,2008,97.516754,98.6,76.62,31.28,33.22876,21780.38,10.437064,4.057233103,9020.873323,17.0,2780400.0,-38.416097,-63.616672
Argentina,2009,97.750656,98.9,74.01,34.7,36.362854,20954.271,11.783506,-5.918525076,8225.137583,17.0,2780400.0,-38.416097,-63.616672
Argentina,2010,98.82,99.1,78.54,34.41,34.353058,21507.703,11.661375,10.12539816,10385.96443,17.0,2780400.0,-38.416097,-63.616672
Argentina,2011,99.09535,99.3,84.43,32.43,31.217922,21894.867,10.929448,6.003951693,12848.8642,17.0,2780400.0,-38.416097,-63.616672
Argentina,2012,99.22998,99.5,91.86,30.93,28.619164,22494.715,10.216426,-1.026420454,13082.66433,17.0,2780400.0,-38.416097,-63.616672
Argentina,2013,99.342674,99.6,91.55,35.03,30.806438,23152.588,10.950079,2.405323781,13080.25473,17.0,2780400.0,-38.416097,-63.616672
Argentina,2014,100.0,99.7,92.18,34.37,30.066004,22881.006,11.038978,-2.512615321,12334.79825,17.0,2780400.0,-38.416097,-63.616672
Argentina,2015,99.62539,99.7,97.18,33.97,29.472387,23046.873,10.907397,2.731159828,13789.06042,17.0,2780400.0,-38.416097,-63.616672
Argentina,2016,99.84958,99.8,100.8,31.02,27.81438,22726.455,10.167007,-2.080327844,12790.24247,17.0,2780400.0,-38.416097,-63.616672
Argentina,2017,100.0,99.8,99.4,33.4,28.267298,22503.818,10.964719,2.818502978,14613.04182,17.0,2780400.0,-38.416097,-63.616672
Argentina,2018,99.98958,99.8,98.31,34.97,29.673082,22163.16,11.39763,-2.617396463,11795.15939,17.0,2780400.0,-38.416097,-63.616672
Argentina,2019,100.0,99.9,90.56,34.63,31.991589,20725.168,11.926772,-2.025934237,10056.63794,17.0,2780400.0,-38.416097,-63.616672
Argentina,2020,100.0,99.9,91.58,37.05,33.967842,19314.066,12.179417,-9.895268964,8579.017773,17.0,2780400.0,-38.416097,-63.616672
Australia,2000,100.0,100.0,181.05,17.11,8.634437,68632.96,3.9888778,3.912427733,21697.70848,3.0,7741220.0,-25.274398,133.775136
Australia,2001,100.0,100.0,194.33,17.4,8.218014,68338.28,3.870762,2.038300732,19527.32358,3.0,7741220.0,-25.274398,133.775136
Australia,2002,100.0,100.0,197.29,17.35,8.0833025,68892.78,3.9314504,4.014526654,20117.78889,3.0,7741220.0,-25.274398,133.775136
Australia,2003,100.0,100.0,195.13,18.5,8.659832,69082.79,4.014969,3.110325109,23492.40517,3.0,7741220.0,-25.274398,133.775136
Australia,2004,100.0,100.0,203.66,19.41,8.701304,70486.32,4.0365605,4.205446887,30513.94174,3.0,7741220.0,-25.274398,133.775136
Australia,2005,100.0,100.0,195.95,19.75,9.156236,69917.164,4.3135533,3.160338325,34080.9999,3.0,7741220.0,-25.274398,133.775136
Australia,2006,100.0,100.0,198.72,21.19,9.63576,71863.76,4.233413,2.726893446,36117.48798,3.0,7741220.0,-25.274398,133.775136
Australia,2007,100.0,100.0,208.59,20.93,9.119031,72304.695,3.9767227,3.768487516,41001.14298,3.0,7741220.0,-25.274398,133.775136
Australia,2008,100.0,100.0,211.06,18.49,8.05489,72089.34,3.6813264,3.577014878,49654.9106,3.0,7741220.0,-25.274398,133.775136
Australia,2009,100.0,100.0,216.42,18.32,7.804379,69689.84,3.9202662,1.86683207,42783.32257,3.0,7741220.0,-25.274398,133.775136
Australia,2010,100.0,100.0,212.5,21.13,9.044215,68523.875,4.3128047,2.172337091,52087.97229,3.0,7741220.0,-25.274398,133.775136
Australia,2011,100.0,100.0,213.56,27.33,11.3454275,69714.19,5.698981,2.469746294,62574.1457,3.0,7741220.0,-25.274398,133.775136
Australia,2012,100.0,100.0,206.75,26.63,11.410575,67583.03,5.700209,3.917362463,68027.84171,3.0,7741220.0,-25.274398,133.775136
Australia,2013,100.0,100.0,195.78,34.2,14.870858,67307.04,6.525869,2.600211881,68156.62792,3.0,7741220.0,-25.274398,133.775136
Australia,2014,100.0,100.0,205.46,36.15,14.96213,66744.195,5.979823,2.562931521,62511.69059,3.0,7741220.0,-25.274398,133.775136
Australia,2015,100.0,100.0,197.72,33.12,14.3476,67234.93,6.290021,2.172204753,56707.02208,3.0,7741220.0,-25.274398,133.775136
Australia,2016,100.0,100.0,207.66,38.41,15.609379,66407.09,7.1891756,2.741643069,49881.76371,3.0,7741220.0,-25.274398,133.775136
Australia,2017,100.0,100.0,209.14,40.77,16.313873,65146.316,6.750127,2.295926947,53934.25018,3.0,7741220.0,-25.274398,133.775136
Australia,2018,100.0,100.0,207.45,42.93,17.145937,65072.668,8.300061,2.87097248,57180.7794,3.0,7741220.0,-25.274398,133.775136
Australia,2019,100.0,100.0,196.45,53.41,21.37597,66263.54,8.880722,2.113149425,54875.28596,3.0,7741220.0,-25.274398,133.775136
Australia,2020,100.0,100.0,186.92,63.99,25.503168,61826.21,10.789811,-0.003836559,51692.84275,3.0,7741220.0,-25.274398,133.775136
Brazil,2000,94.391716,89.0,28.87,308.77,91.57278,13400.32,43.288433,4.387949444,3749.910848,25.0,8515770.0,-14.235004,-51.92528
Brazil,2001,96.016525,89.7,35.19,273.71,89.111,12893.828,39.11162,1.389896404,3160.249345,25.0,8515770.0,-14.235004,-51.92528
Brazil,2002,96.65299,90.1,33.5,292.95,90.15546,13021.791,40.756653,3.053461857,2839.491501,25.0,8515770.0,-14.235004,-51.92528
Brazil,2003,96.980095,90.6,31.62,313.88,91.18975,13111.923,42.284126,1.140828999,3070.436419,25.0,8515770.0,-14.235004,-51.92528
Brazil,2004,96.76511,91.1,40.14,329.43,89.46926,13593.7,42.286156,5.759964637,3637.31389,25.0,8515770.0,-14.235004,-51.92528
Brazil,2005,97.09351,91.6,39.56,346.96,90.00303,13792.465,43.1457,3.202132062,4790.456566,25.0,8515770.0,-14.235004,-51.92528
Brazil,2006,97.594315,92.1,39.4,359.55,90.43527,14020.683,43.045963,3.961988709,5886.391522,25.0,8515770.0,-14.235004,-51.92528
Brazil,2007,98.12538,92.6,37.64,387.88,91.390076,14770.351,44.380226,6.069870607,7348.187963,25.0,8515770.0,-14.235004,-51.92528
Brazil,2008,98.52663,93.1,55.87,385.61,87.71251,15255.087,43.366776,5.094195448,8831.183643,25.0,8515770.0,-14.235004,-51.92528
Brazil,2009,98.85694,93.6,36.32,410.13,92.08145,15004.24,46.30883,-0.125812003,8597.794335,25.0,8515770.0,-14.235004,-51.92528
Brazil,2010,98.6,94.0,61.02,435.99,88.053566,16220.931,44.246536,7.528225818,11286.07154,25.0,8515770.0,-14.235004,-51.92528
Brazil,2011,99.32869,94.3,50.27,462.32,90.468155,16629.84,43.91006,3.974423079,13245.38737,25.0,8515770.0,-14.235004,-51.92528
Brazil,2012,99.51949,94.7,77.21,454.78,85.88896,16963.494,42.06637,1.921175985,12370.22325,25.0,8515770.0,-14.235004,-51.92528
